Zip Code,City Name
15003,Ambridge
15005,Baden
15006,Bairdford
15007,Bakerstown
15014,Brackenridge
15015,Bradfordwoods
15017,Bridgeville
15018,Buena Vista
15020,Bunola
15024,Cheswick
15025,Clairton
15026,Clinton
15028,Coulters
15030,Creighton
15031,Cuddy
15032,Curtisville
15034,Dravosburg
15035,East Mc Keesport
15037,Elizabeth
15044,Gibsonia
15045,Glassport
15046,Crescent
15047,Greenock
15049,Harwick
15051,Indianola
15056,Leetsdale
15057,McDonald
15063,Monongahela
15064,Morgan
15065,Natrona Heights
15068,New Kensington
15071,Oakdale
15075,Rural Ridge
15076,Russellton
15082,Sturgeon
15084,Tarentum
15085,Trafford
15086,Warrendale
15088,West Elizabeth
15089,West Newton
15090,Wexford
15091,Wildwood
15095,Warrendale
15096,Warrendale
15101,Allison Park
15102,Bethel Park
15104,Braddock
15106,Carnegie
15108,Coraopolis
15110,Duquesne
15112,East Pittsburgh
15116,Glenshaw
15120,Homestead
15122,West Mifflin
15123,West Mifflin
15126,Imperial
15127,Ingomar
15129,South Park
15131,McKeesport
15132,McKeesport
15133,McKeesport
15134,McKeesport
15135,McKeesport
15136,McKees Rocks
15137,North Versailles
15139,Oakmont
15140,Pitcairn
15142,Presto
15143,Sewickley
15144,Springdale
15145,Turtle Creek
15146,Monroeville
15147,Verona
15148,Wilmerding
15201,Pittsburgh
15202,Pittsburgh
15203,Pittsburgh
15204,Pittsburgh
15205,Pittsburgh
15206,Pittsburgh
15207,Pittsburgh
15208,Pittsburgh
15209,Pittsburgh
15210,Pittsburgh
15211,Pittsburgh
15212,Pittsburgh
15213,Pittsburgh
15214,Pittsburgh
15215,Pittsburgh
15216,Pittsburgh
15217,Pittsburgh
15218,Pittsburgh
15219,Pittsburgh
15220,Pittsburgh
15221,Pittsburgh
15222,Pittsburgh
15223,Pittsburgh
15224,Pittsburgh
15225,Pittsburgh
15226,Pittsburgh
15227,Pittsburgh
15228,Pittsburgh
15229,Pittsburgh
15230,Pittsburgh
15231,Pittsburgh
15232,Pittsburgh
15233,Pittsburgh
15234,Pittsburgh
15235,Pittsburgh
15236,Pittsburgh
15237,Pittsburgh
15238,Pittsburgh
15239,Pittsburgh
15240,Pittsburgh
15241,Pittsburgh
15242,Pittsburgh
15243,Pittsburgh
15244,Pittsburgh
15250,Pittsburgh
15251,Pittsburgh
15252,Pittsburgh
15253,Pittsburgh
15254,Pittsburgh
15255,Pittsburgh
15257,Pittsburgh
15258,Pittsburgh
15259,Pittsburgh
15260,Pittsburgh
15261,Pittsburgh
15262,Pittsburgh
15264,Pittsburgh
15265,Pittsburgh
15267,Pittsburgh
15268,Pittsburgh
15270,Pittsburgh
15272,Pittsburgh
15274,Pittsburgh
15275,Pittsburgh
15276,Pittsburgh
15277,Pittsburgh
15278,Pittsburgh
15279,Pittsburgh
15281,Pittsburgh
15282,Pittsburgh
15283,Pittsburgh
15286,Pittsburgh
15289,Pittsburgh
15290,Pittsburgh
15295,Pittsburgh
15332,Finleyville
15642,Irwin
16046,Mars
16059,Valencia
